product,price
alabama,1195
alabama lítil,990
avóvcadó,0
bergtoppur stórógarberja,0
caffe latte,495
cappucino,0
chango,1195
chango lítil,990
chickencado,1690
chickencado lítil,1050
chickencurry,1690
chickencurry lítil,1050
coke,300
coke lite,300
coke zero,300
dazed,1195
dazed lítil,990
django,1195
django lítil,990
elvis,1195
elvis lítil,990
engiferskot,390
espresso,430
gjafabréf,0
good times,1195
good times lítil,990
greenday,1195
greenday lítil,990
hafragrautur með eplum,590
hafragrautur með granóla,590
hangover,1690
hangover lítil,1050
hawaiian flirt,1195
hawaiian flirt lítil,990
honey bunny,1195
honey bunny lítil,990
icelandic flirt,1195
icelandic flirt lítil,990
indian flirt,1195
indian flirt lítil,990
jj,1195
jj lítil,990
kaffi,440
kaffi curro,1190
kaffi curro lítil,990
kaffi frappó,1190
kaffi frappó lítil,990
kjöt,275
lotta love,1995
lotta love lítil,990
lítil poki,20
lítil samloka,0
macchiato,495
meatlove,1690
meatlove lítil,1050
mocha,540
mozarella,0
mozzato,1690
mozzato lítil,1050
mr. blonde,1995
mr. blonde lítil,990
mr. pink,1995
mr. pink lítil,990
nice guy,1195
nice guy lítil,990
parmella,1690
parmella lítil,1050
pescado,1690
pescado lítil,1050
presley,1195
presley lítil,990
próteinduft,0
ruðrófuskot,390
spanish flirt,1195
spanish flirt lítil,990
spicy chicken,1690
spicy chicken lítil,1050
spicy tuna,1690
spicy tuna lítil,1050
spicy vegan,1690
spicy vegan lítil,1050
stór poki,99
toppur appelsínu,300
toppur epla,300
toppur ferstórju,300
toppur kolsýrt vatn,300
tunacado,1690
tunacado lítil,1050
túmerikskot,390
vanilla flirt,1190
vanilla flirt lítil,990
vatn 330 ml,300
winston wolf,1195
winston wolf lítil,990
